size_sqm,bedrooms,age_years,price_uds
209,2,32,328317
247,2,7,399261
209,2,4,332917
296,3,38,462306
117,5,3,227808
232,1,5,362474
252,4,31,402767
233,1,29,348825
172,4,34,285668
194,1,39,290245
87,5,15,177708
73,4,12,151838
118,3,29,191912
165,1,18,259043
147,1,16,233087
247,4,18,399228
263,3,27,421540
188,3,25,305664
289,5,36,471500
193,3,25,314867
146,3,22,248657
250,3,8,405988
173,2,11,277504
236,5,0,401967
119,1,0,206027
257,4,33,408786
142,1,31,211622
52,5,24,115079
197,4,39,314571
236,5,0,404073
213,3,15,346104
196,4,38,314143
139,3,4,245379
244,1,21,375306
196,1,28,300357
197,4,2,343824
145,4,11,261043
248,5,25,407940
101,5,15,192766
282,3,36,439644
210,4,21,352018
217,1,28,339052
177,5,13,306914
88,5,27,168468
131,1,4,213417
153,5,29,273584
178,3,4,306144
60,4,11,135897
269,1,15,417787
234,4,25,389691
266,5,25,432228
227,5,20,376865
200,1,38,298492
208,3,35,324198
271,2,32,418686
91,1,29,149512
148,2,36,238923
56,2,22,94395
193,3,9,328780
139,2,4,234900
161,2,35,253082
298,3,33,463671
293,2,30,449860
109,2,9,182502
162,2,18,265011
51,1,31,74717
178,1,0,282782
97,1,4,161446
189,3,3,322769
246,5,15,411986
86,2,23,146835
209,2,15,331980
296,3,1,483832
58,2,27,101766
282,1,31,424991
148,5,26,261192
196,4,19,332630
97,2,23,160588
257,1,11,400651
180,4,34,293636
197,5,32,335914
201,4,32,323667
103,1,36,160308
169,4,11,286062
210,3,2,345156
201,4,0,346360
165,2,32,257661
124,2,39,192805
162,3,9,278674
249,1,28,379041
213,2,12,345986
215,5,11,366729
153,2,30,244848
133,2,1,227330
276,1,34,415334
161,4,22,276424
266,2,16,416330
148,3,25,246510
202,4,7,343301
142,5,28,248846
